Z,Nuclide,mass,spin & parity,abundance,half-life,sig(J32),sig(J33),sig(J40)
78,Pt-186,185.959350812 +- 0.000023344,0+,,2.08H,,,
78,Pt-187,186.960587000 +- 0.000030000,3/2-,,2.35H 3,,,
78,Pt-188,187.959388940 +- 0.000006056,0+,,10.2D 3,,,
78,Pt-189,188.960831347 +- 0.000012057,3/2-,,10.87H 12,,,
78,Pt-190,189.959929771 +- 0.000006263,0+,0.012,6.5E+11Y 3,,,
78,Pt-191,190.961672989 +- 0.000005325,3/2-,,2.802D 25,,,
78,Pt-192,191.961038815 +- 0.000003225,0+,0.782,stable,,,
78,Pt-193,192.962982451 +- 0.000002095,1/2-,,50Y 6,,,
78,Pt-193 m,1.49780E+02 keV,13/2+,,4.33D 3,,,
78,Pt-194,193.962680911 +- 0.000001004,0+,32.86,stable,,,
78,Pt-195,194.964791779 +- 0.000000996,1/2-,33.78,stable,,,
78,Pt-195 m,2.59290E+02 keV,13/2+,,4.010D 5,,,
78,Pt-196,195.964952149 +- 0.000000986,0+,25.21,stable,,,
78,Pt-197,196.967340740 +- 0.000000944,1/2-,,19.8915H 19,,,
78,Pt-197 m,3.99590E+02 keV,13/2+,,95.41M 18,,,
78,Pt-198,197.967894959 +- 0.000002324,0+,7.356,stable,,,
78,Pt-199,198.970595263 +- 0.000002385,5/2-,,30.8M 4,,,
78,Pt-199 m,4.24000E+02 keV,(13/2)+,,13.6S 4,,,
78,Pt-200,199.971442846 +- 0.000021596,0+,,12.6H 3,,,
78,Pt-201,200.974512975 +- 0.000053787,(5/2-),,2.5M 1,,,
78,Pt-202,201.975740 +- 0.000210,0+,,44H 15,,,
79,Au-nat,196.966569 +- 0.000004,,,,,,XXX
79,Au-170,169.996132 +- 0.000217,(2-),,0.29MS +5 -4,,,
79,Au-170 m,2.82000E+02 keV,(9+),,0.62MS +5 -4,,,
79,Au-171,170.991875900 +- 0.000022534,(1/2+),,17US +9 -5,,,
79,Au-171 m,2.50000E+02 keV,11/2-,,1.02MS 10,,,
79,Au-172,171.989942284 +- 0.000080694,,,4MS 1,,,
79,Au-173,172.986235395 +- 0.000025643,(1/2+),,25MS 1,,,
79,Au-173 m,2.14000E+04 keV,(11/2-),,14.0MS 9,,,
79,Au-174,173.984717 +- 0.000095,(3-),,120MS 3,,,
79,Au-175,174.981274102 +- 0.000045513,(11/2-),,160MS 5,,,
79,Au-176,175.980250432 +- 0.000035604,,,1.08S 17,,,
79,Au-177,176.976868660 +- 0.000011672,,,1.462S 7,,,
79,Au-177 m,2.16000E+02 keV,11/2-,,1.18S 1,,,
79,Au-178,177.976031920 +- 0.000061346,,,2.6S 5,,,
79,Au-179,178.973182559 +- 0.000013526,(5/2-),,7.1S 3,,,
79,Au-180,179.972521124 +- 0.000022554,,,8.1S 3,,,
79,Au-181,180.970079047 +- 0.000021445,(3/2-),,13.7S 14,,,
79,Au-182,181.969617874 +- 0.000021749,,,15.6S 4,,,
79,Au-183,182.967593070 +- 0.000011263,(5/2)-,,42.0S 12,,,
79,Au-184,183.967451524 +- 0.000023912,3+,,53S 14,,,
79,Au-184 m,6.86000E+01 keV,2+,,47.6S 14,,,
79,Au-185,184.965789410 +- 0.000027942,5/2-,,4.25M 6,,,
79,Au-185,,,,6.8M 3,,,
79,Au-186,185.965952703 +- 0.000022509,3-,,10.7M 5,,,
79,Au-187,186.964567541 +- 0.000026962,1/2+,,8.4M 3,,,
79,Au-187 m,1.20600E+02 keV,9/2-,,2.3S 1,,,
79,Au-188,187.965323661 +- 0.000021886,1(-),,8.84M 6,,,
79,Au-189,188.963948286 +- 0.000021558,1/2+,,28.7M 3,,,
79,Au-189 m,2.47230E+02 keV,11/2-,,4.59M 11,,,
79,Au-190,189.964698454 +- 0.000017278,1-,,42.8M 10,,,
79,Au-190,,(11-),,125MS 20,,,
79,Au-191,190.963702066 +- 0.000039779,3/2+,,3.18H 8,,,
79,Au-191 m,2.67000E+02 keV,(11/2-),,0.92S 11,,,
79,Au-192,191.964813763 +- 0.000017073,1-,,4.94H 9,,,
79,Au-192 m,4.31600E+02 keV,(11-),,160MS 20,,,
79,Au-193,192.964137268 +- 0.000009320,3/2+,,17.65H 15,,,
79,Au-193 m,2.90180E+02 keV,11/2-,,3.9S 3,,,
79,Au-194,193.965365701 +- 0.000010956,1-,,38.02H 10,,,
79,Au-194 m,1.07400E+02 keV,(5+),,600MS 8,,,
79,Au-194 n,4.75800E+02 keV,(11-),,420MS 10,,,
79,Au-195,194.965035284 +- 0.000001464,3/2+,,186.098D 5,,,
79,Au-195 m,3.18590E+02 keV,11/2-,,30.5S 2,,,
79,Au-196,195.966569951 +- 0.000003204,2-,,6.1669D 6,,,
79,Au-196 m,8.46600E+01 keV,5+,,8.1S 2,,,
79,Au-196 n,5.95660E+02 keV,12-,,9.6H 1,,,
79,Au-197,196.966568812 +- 0.000000707,3/2+,100,stable,,,XXX
79,Au-197 m,4.09150E+02 keV,11/2-,,7.73S 6,,,
79,Au-198,197.968242446 +- 0.000000700,2-,,2.69517D 21,,,
79,Au-198 m,8.11700E+02 keV,(12-),,2.27D 2,,,
79,Au-199,198.968765348 +- 0.000000706,3/2+,,3.139D 7,,,
79,Au-199 m,5.48937E+02 keV,(11/2)-,,0.44MS 3,,,
79,Au-200,199.970726320 +- 0.000053407,(1-),,48.4M 3,,,
79,Au-200 m,9.62000E+02 keV,12-,,18.7H 5,,,
79,Au-201,200.971657347 +- 0.000003442,3/2+,,26.0M 8,,,
79,Au-202,201.973806088 +- 0.000178649,(1-),,28.4S 12,,,
79,Au-203,202.975154406 +- 0.000003308,(3/2+),,60S 6,,,
79,Au-204,203.977724 +- 0.000215,(2-),,39.8S 9,,,
79,Au-205,204.979700 +- 0.000320,(3/2+),,31S 2,,,
80,Hg-nat,200.59 +- 0.02,,,,,,XXX
80,Hg-171,171.003809 +- 0.000437,,,59US +36 -16,,,
80,Hg-172,171.998822900 +- 0.000224054,0+,,0.32MS +32 -11,,,
80,Hg-173,172.997248 +- 0.000217,(7/2-),,0.7MS +4 -2,,,
80,Hg-174,173.992864857 +- 0.000020944,0+,,1.9MS +4 -3,,,
80,Hg-175,174.991439945 +- 0.000078263,,,10.8MS 4,,,
80,Hg-176,175.987355261 +- 0.000012848,0+,,18MS 10,,,
80,Hg-177,176.986279615 +- 0.000080586,(5/2-),,127.3MS 18,,,
80,Hg-178,177.982488996 +- 0.000012529,0+,,0.266S 25,,,
80,Hg-179,178.981833582 +- 0.000029316,7/2-,,1.05S 3,,,
80,Hg-180,179.978259243 +- 0.000013658,0+,,2.58S 1,,,
80,Hg-181,180.977819179 +- 0.000016513,1/2(-),,3.6S 3,,,
80,Hg-182,181.974689162 +- 0.000010429,0+,,10.83S 6,,,
80,Hg-183,182.974443024 +- 0.000007628,1/2-,,8.8S 5,,,
80,Hg-183,,,,10.7S 8,,,
80,Hg-184,183.971712566 +- 0.000010805,0+,,30.75S 21,,,
80,Hg-185,184.971899086 +- 0.000016678,1/2-,,49.1S 10,,,
80,Hg-185 m,9.93000E+01 keV,13/2+,,21.6S 15,,,
80,Hg-186,185.969360967 +- 0.000012074,0+,,1.38M 7,,,
80,Hg-187,186.969813794 +- 0.000014947,13/2+,,2.4M 3,,,
80,Hg-187 m,1.34000E+02 keV,3/2-,,1.9M 3,,,
80,Hg-188,187.967576474 +- 0.000012379,0+,,3.25M 15,,,
80,Hg-189,188.968189720 +- 0.000035869,3/2-,,7.6M 1,,,
80,Hg-189,,13/2+,,8.6M 1,,,
80,Hg-190,189.966321482 +- 0.000017088,0+,,20.0M 5,,,
80,Hg-191,190.967156336 +- 0.000024252,(3/2-),,49M 10,,,
80,Hg-191 m,1.40000E+02 keV,(13/2+),,50.8M 15,,,
80,Hg-192,191.965633494 +- 0.000016694,0+,,4.85H 20,,,
80,Hg-193,192.966652336 +- 0.000016649,3/2-,,3.80H 15,,,
80,Hg-193 m,1.40760E+02 keV,13/2+,,11.8H 2,,,
80,Hg-194,193.965439194 +- 0.000013457,0+,,444Y 77,,,
80,Hg-195,194.966719600 +- 0.000024847,1/2-,,10.53H 3,,,
80,Hg-195 m,1.76070E+02 keV,13/2+,,41.6H 8,,,
80,Hg-196,195.965832615 +- 0.000003172,0+,0.15,stable,,XXX,XXX
80,Hg-197,196.967212900 +- 0.000003450,1/2-,,64.14H 5,,,
80,Hg-197 m,2.98930E+02 keV,13/2+,,23.8H 1,,,
80,Hg-198,197.966768629 +- 0.000000515,0+,9.97,stable,,XXX,XXX
80,Hg-199,198.968280630 +- 0.000000460,1/2-,16.87,stable,,XXX,XXX
80,Hg-199 m,5.32480E+02 keV,13/2+,,42.67M 9,,,
80,Hg-200,199.968326678 +- 0.000000470,0+,23.10,stable,,XXX,XXX
80,Hg-201,200.970302548 +- 0.000000695,3/2-,13.18,stable,,XXX,XXX
80,Hg-202,201.970643262 +- 0.000000694,0+,29.86,stable,,XXX,XXX
80,Hg-203,202.972871681 +- 0.000001817,5/2-,,46.594D 12,,,
80,Hg-204,203.973493939 +- 0.000000527,0+,6.87,stable,,XXX,XXX
80,Hg-205,204.976072867 +- 0.000003930,1/2-,,5.14M 9,,,
80,Hg-205 m,1.55641E+03 keV,13/2+,,1.09MS 4,,,
80,Hg-206,205.977513126 +- 0.000021949,0+,,8.32M 7,,,
80,Hg-207,206.982588149 +- 0.000161139,(9/2+),,2.9M 2,,,
80,Hg-208,207.985759000 +- 0.000033000,0+,,41M +5 -4,,,
80,Hg-209,208.990830 +- 0.000160,,,35S +9 -6,,,
80,Hg-210,209.994240 +- 0.000210,0+,,unknown,,,
81,Tl-nat,204.3833 +- 0.0002,,,,,,
81,Tl-176,176.000623225 +- 0.000080613,"(3-,4-,5-)",,5.2MS +30 -14,,,
81,Tl-177,176.996425299 +- 0.000024463,(1/2+),,18MS 5,,,
81,Tl-177 m,8.07000E+04 keV,(11/2-),,0.23MS 4,,,
81,Tl-178,177.994853 +- 0.000109,,,254MS +11 -9,,,
81,Tl-179,178.991089075 +- 0.000046355,(1/2+),,0.23S 4,,,
81,Tl-179,,(11/2-),,1.5MS 3,,,
81,Tl-180,179.990056524 +- 0.000064411,0+,,1.5S 2,,,
81,Tl-181,180.986259452 +- 0.000009829,,,3.2S 3,,,
81,Tl-181,,,,1.4MS 5,,,
81,Tl-182,181.985667104 +- 0.000081514,(7+),,3.1S 10,,,
81,Tl-183,182.982190560 +- 0.000010100,(1/2+),,6.9S 7,,,
81,Tl-183 m,6.30000E+02 keV,(9/2-),,60MS 15,,,
81,Tl-184,183.981873122 +- 0.000052944,,,11S 1,,,
81,Tl-185,184.978791304 +- 0.000057842,(1/2+),,19.5S 5,,,
81,Tl-185 m,4.54800E+02 keV,(9/2-),,1.93S 8,,,
81,Tl-186,185.978663830 +- 0.000028000,(7+),,27.5S 10,,,
81,Tl-186 m,3.74000E+02 keV,(10-),,2.9S 2,,,
81,Tl-187,186.975905934 +- 0.000008702,(1/2+),,51S AP,,,
81,Tl-187 m,3.35000E+02 keV,(9/2-),,15.60S 12,,,
81,Tl-188,187.976009782 +- 0.000035007,(2-),,71S 2,,,
81,Tl-189,188.973588458 +- 0.000011692,(1/2+),,2.3M 2,,,
81,Tl-189 m,2.57713E+02 keV,9/2-,,2.3M 2,,,
81,Tl-190,189.973901033 +- 0.000014802,2(-),,2.6M 3,,,
81,Tl-190,,7(+),,3.7M 3,,,
81,Tl-191 m,2.97000E+02 keV,(9/2-),,5.22M 16,,,
81,Tl-192,191.972225000 +- 0.000034000,(7+),,10.8M 2,,,
81,Tl-192,,(2-),,9.6M 4,,,
81,Tl-193,192.970692228 +- 0.000084497,1/2+,,21.6M 8,,,
81,Tl-193 m,3.65200E+02 keV,9/2-,,2.11M 15,,,
81,Tl-194,193.971200000 +- 0.000145000,2-,,33.0M 5,,,
81,Tl-194 m,2.50000E+02 keV,(7+),,32.8M 2,,,
81,Tl-195,194.969773881 +- 0.000014679,1/2+,,1.16H 5,,,
81,Tl-195 m,4.82600E+02 keV,9/2-,,3.6S 4,,,
81,Tl-196,195.970481179 +- 0.000013000,2-,,1.84H 3,,,
81,Tl-196 m,3.95000E+02 keV,(7+),,1.41H 2,,,
81,Tl-197,196.969574551 +- 0.000017556,1/2+,,2.84H 4,,,
81,Tl-197 m,6.08220E+02 keV,9/2-,,0.54S 1,,,
81,Tl-198,197.970483092 +- 0.000085885,2-,,5.3H 5,,,
81,Tl-198 m,5.43500E+02 keV,7+,,1.87H 3,,,
81,Tl-198 n,7.42300E+02 keV,(10-),,32.1MS 10,,,
81,Tl-199,198.969877000 +- 0.000030000,1/2+,,7.42H 8,,,
81,Tl-199 m,7.49800E+02 keV,9/2-,,28.4MS 2,,,
81,Tl-200,199.970963346 +- 0.000006174,2-,,26.1H 1,,,
81,Tl-200 m,7.53600E+02 keV,7+,,34.0MS 9,,,
81,Tl-201,200.970818000 +- 0.000016161,1/2+,,3.0421D 17,,,
81,Tl-201 m,9.19100E+02 keV,(9/2-),,2.01MS 7,,,
81,Tl-202,201.972103411 +- 0.000015295,2-,,12.31D 8,,,
81,Tl-203,202.972343330 +- 0.000001368,1/2+,29.52,stable,,,
81,Tl-204,203.973862624 +- 0.000001346,2-,,3.78Y 2,,,
81,Tl-205,204.974426520 +- 0.000001431,1/2+,70.48,stable,,,
81,Tl-206,205.976109308 +- 0.000001477,0-,,4.202M 11,,,
81,Tl-206 m,2.64330E+03 keV,(12-),,3.74M 3,,,
81,Tl-207,206.977419033 +- 0.000005899,1/2+,,4.77M 2,,,
81,Tl-207 m,1.35000E+03 keV,11/2-,,1.33S 11,,,
81,Tl-208,207.982015599 +- 0.000002134,5+,,3.053M 4,,,
81,Tl-209,208.985359151 +- 0.000008476,(1/2+),,2.20M 7,,,
81,Tl-210,209.990072896 +- 0.000012491,(5+),,1.30M 3,,,
81,Tl-211,210.993616 +- 0.000215,,,unknown,,,
81,Tl-212,211.998442 +- 0.000322,,,unknown,,,
82,Pb-nat,207.2 +- 0.1,,,,,,XXX
82,Pb-178,178.003831351 +- 0.000025982,,,230US,,,
82,Pb-180,179.997922683 +- 0.000014130,0+,,4.4MS 11,,,
82,Pb-181,180.996668212 +- 0.000082179,(13/2+),,45MS 20,,,
82,Pb-182,181.992677693 +- 0.000013855,,,55MS 40,,,
82,Pb-183,182.991874351 +- 0.000030263,(3/2-),,535MS 30,,,
82,Pb-183 m,9.70000E+01 keV,(13/2+),,415MS 20,,,
82,Pb-184,183.988134622 +- 0.000013823,0+,,490MS 23,,,
82,Pb-185,184.987609812 +- 0.000017364,3/2-,,6.3S 4,,,
82,Pb-185,,13/2+,,4.3S 2,,,
82,Pb-186,185.984238141 +- 0.000012129,0+,,4.83S 5,,,
82,Pb-187,186.983907313 +- 0.000006163,(3/2-),,15.2S 3,,,
82,Pb-187 m,8.10000E+01 keV,(13/2+),,18.3S 5,,,
82,Pb-188,187.980873853 +- 0.000011407,0+,,25.1S 1,,,
82,Pb-189,188.980807000 +- 0.000037000,(3/2-),,51S 3,,,
82,Pb-190,189.978080693 +- 0.000013032,0+,,71S 1,,,
82,Pb-191,190.978265000 +- 0.000042000,,,1.33M 8,,,
82,Pb-191,,(13/2+),,2.18M 8,,,
82,Pb-192,191.975784595 +- 0.000013539,0+,,3.5M 1,,,
82,Pb-193,192.976173234 +- 0.000053222,(3/2-),,unknown,,,
82,Pb-193 m,1.30000E+02 keV,(13/2+),,5.8M 2,,,
82,Pb-194,193.974010908 +- 0.000018746,0+,,12.0M 5,,,
82,Pb-195,194.974542050 +- 0.000025085,3/2-,,15M AP,,,
82,Pb-195 m,2.00000E+02 keV,13/2+,,15.0M 12,,,
82,Pb-196,195.972773264 +- 0.000015329,0+,,37M 3,,,
82,Pb-197,196.973431152 +- 0.000006001,3/2-,,8M 2,,,
82,Pb-197 m,3.19310E+02 keV,13/2+,,43M 1,,,
82,Pb-198,197.972033108 +- 0.000015650,0+,,2.4H 1,,,
82,Pb-199,198.972912663 +- 0.000010730,3/2-,,90M 10,,,
82,Pb-199 m,4.24100E+02 keV,(13/2+),,12.2M 3,,,
82,Pb-200,199.971813321 +- 0.000011742,0+,,21.5H 4,,,
82,Pb-201,200.972884512 +- 0.000023998,5/2-,,9.33H 3,,,
82,Pb-201 m,6.28200E+02 keV,13/2+,,61S 2,,,
82,Pb-202,201.972155228 +- 0.000003395,0+,,52.5E+3Y 28,,,
82,Pb-202 m,2.16983E+03 keV,9-,,3.54H 2,,,
82,Pb-203,202.973389849 +- 0.000007055,5/2-,,51.92H 3,,,
82,Pb-203 m,8.25300E+02 keV,13/2+,,6.21S 8,,,
82,Pb-203 n,2.94911E+03 keV,29/2-,,480MS 7,,,
82,Pb-204,203.973042700 +- 0.000001337,0+,1.4,1.4E+17Y GE,XXX,XXX,XXX
82,Pb-204 m,2.18536E+03 keV,9-,,67.2M 3,,,
82,Pb-205,204.974480874 +- 0.000001334,5/2-,,1.73E+7Y 7,,,
82,Pb-205 m,1.01385E+03 keV,13/2+,,5.55MS 2,,,
82,Pb-206,205.974464400 +- 0.000001333,0+,24.1,stable,XXX,XXX,XXX
82,Pb-207,206.975896007 +- 0.000001336,1/2-,22.1,stable,XXX,XXX,XXX
82,Pb-207 m,1.63340E+03 keV,13/2+,,0.806S 6,,,
82,Pb-208,207.976651189 +- 0.000001337,0+,52.4,stable,XXX,XXX,XXX
82,Pb-209,208.981089197 +- 0.000001948,9/2+,,3.253H 14,,,
82,Pb-210,209.984187586 +- 0.000001641,0+,,22.20Y 22,,,
82,Pb-211,210.988737232 +- 0.000002836,9/2+,,36.1M 2,,,
82,Pb-212,211.991891449 +- 0.000002365,0+,,10.64H 1,,,
82,Pb-213,212.996563786 +- 0.000007178,(9/2+),,10.2M 3,,,
82,Pb-214,213.999804941 +- 0.000002521,0+,,26.8M 9,,,
82,Pb-215,215.004870 +- 0.000304,5/2+,,36S 1,,,
83,Bi-nat,208.98040 +- 0.00001,,,,,,XXX
83,Bi-184,184.001274755 +- 0.000083845,,,13MS 2,,,
83,Bi-184,,,,6.6MS 15,,,
83,Bi-185,184.997513 +- 0.000108,1/2+,,58US 4,,,
83,Bi-186,185.996597625 +- 0.000082526,(10-),,9.8MS 4,,,
83,Bi-186,,(3+),,14.8MS 8,,,
83,Bi-187,186.993145180 +- 0.000011022,(9/2-),,32MS 3,,,
83,Bi-187 m,1.11000E+02 keV,(1/2+),,0.29MS +9 -5,,,
83,Bi-188,187.992269118 +- 0.000053098,(10+),,265MS 10,,,
83,Bi-188,,(3+),,60MS 3,,,
83,Bi-189,188.989196291 +- 0.000057915,(9/2-),,674MS 11,,,
83,Bi-189 m,1.85000E+02 keV,(1/2+),,5.0MS 4,,,
83,Bi-190,189.988634550 +- 0.000028256,(3+),,6.3S 1,,,
83,Bi-190,,(10-),,6.2S 1,,,
83,Bi-191,190.985786154 +- 0.000007976,(9/2-),,12.3S 5,,,
83,Bi-191 m,2.41000E+02 keV,(1/2+),,150MS 15,,,
83,Bi-192,191.985457954 +- 0.000035416,(3+),,34.6S 9,,,
83,Bi-192,,(10-),,39.6S 4,,,
83,Bi-193,192.982959800 +- 0.000010327,(9/2-),,67S 3,,,
83,Bi-193 m,3.07000E+02 keV,(1/2+),,3.2S 6,,,
83,Bi-194,193.982857844 +- 0.000015745,(3+),,95S 3,,,
83,Bi-194,,(10-),,115S 4,,,
83,Bi-194,,"(6+,7+)",,125S 7,,,
83,Bi-195,194.980648629 +- 0.000005679,(9/2-),,183S 4,,,
83,Bi-195 m,3.99000E+02 keV,(1/2+),,87S 1,,,
83,Bi-196,195.980666509 +- 0.000026224,(3+),,5.13M 20,,,
83,Bi-196 m,1.69000E+02 keV,(7+),,0.6S 5,,,
83,Bi-196 n,2.69000E+02 keV,(10-),,4.00M 5,,,
83,Bi-197,196.978865230 +- 0.000008946,(9/2-),,9.33M 50,,,
83,Bi-197 m,6.90000E+02 keV,(1/2+),,5.04M 16,,,
83,Bi-198,197.979206000 +- 0.000030000,"(2+,3+)",,10.3M 3,,,
83,Bi-198,,(7+),,11.6M 3,,,
83,Bi-198 m,2.48500E+02 keV,(10-),,7.7S 5,,,
83,Bi-199,198.977671506 +- 0.000012564,9/2-,,27M 1,,,
83,Bi-199 m,6.67000E+02 keV,(1/2+),,24.70M 15,,,
83,Bi-200,199.978130694 +- 0.000026288,7+,,36.4M 5,,,
83,Bi-200,,(2+),,31M 2,,,
83,Bi-200 m,4.28200E+02 keV,10(-),,0.40S 5,,,
83,Bi-201,200.977009077 +- 0.000016332,9/2-,,103M 3,,,
83,Bi-201 m,8.46340E+02 keV,1/2+,,59.1M 6,,,
83,Bi-202,201.977732260 +- 0.000016161,5+,,1.71H 4,,,
83,Bi-203,202.976892538 +- 0.000013721,9/2-,,11.76H 5,,,
83,Bi-203 m,1.09810E+03 keV,1/2+,,305MS 5,,,
83,Bi-204,203.977835958 +- 0.000009856,6+,,11.22H 10,,,
83,Bi-204 m,8.05500E+02 keV,10-,,13.0MS 1,,,
83,Bi-204 n,2.83360E+03 keV,(17+),,1.07MS 3,,,
83,Bi-205,204.977386033 +- 0.000005493,9/2-,,15.31D 4,,,
83,Bi-206,205.978498251 +- 0.000008354,6+,,6.243D 3,,,
83,Bi-207,206.978469746 +- 0.000002627,9/2-,,32.9Y 14,,,
83,Bi-208,207.979741254 +- 0.000002529,5+,,3.68E+5Y 4,,,
83,Bi-208 m,1.57110E+03 keV,10-,,2.58MS 4,,,
83,Bi-209,208.980397792 +- 0.000001557,9/2-,100,1.9E+19Y 2,XXX,XXX,XXX
83,Bi-210,209.984119430 +- 0.000001555,1-,,5.012D 5,,,
83,Bi-210 m,2.71310E+02 keV,9-,,3.04E+6Y 6,,,
83,Bi-211,210.987269065 +- 0.000005902,9/2-,,2.14M 2,,,
83,Bi-212,211.991282623 +- 0.000002134,1(-),,60.55M 6,,,
83,Bi-212 m,2.50000E+02 keV,(9-),,25.0M 2,,,
83,Bi-212 n,1.91000E+03 keV,16 GT,,7.0M 3,,,
83,Bi-213,212.994384864 +- 0.000005363,9/2-,,45.59M 6,,,
83,Bi-214,213.998710744 +- 0.000012053,1-,,19.9M 4,,,
83,Bi-215,215.001769805 +- 0.000016000,,,7.7M 2,,,
83,Bi-215 m,1.34750E+03 keV,(25/2-),,36.4S,,,
83,Bi-216,216.006305972 +- 0.000012000,"(6-,7-)",,2.25M 8,,,
83,Bi-217,217.009540 +- 0.000210,,,93S 3,,,
83,Bi-218,218.014146 +- 0.000385,,,33S 1,,,
84,Po-187,187.003043307 +- 0.000034281,"(1/2-,5/2-)",,1.40MS 25,,,
84,Po-188,187.999415942 +- 0.000019752,0+,,0.30MS 5,,,
84,Po-189,188.998475975 +- 0.000020764,,,3.5MS 5,,,
84,Po-190,189.995100380 +- 0.000014396,0+,,2.45MS 5,,,
84,Po-191,190.994572941 +- 0.000012679,(3/2-),,22MS 1,,,
84,Po-191 m,1.30000E+02 keV,(13/2+),,98MS 8,,,
84,Po-192,191.991334963 +- 0.000011930,0+,,0.0332MS 14,,,
84,Po-193,192.991025678 +- 0.000037208,(3/2-),,0.42S 4,,,
84,Po-193,,(13/2+),,0.24S 1,,,
84,Po-194,193.988184795 +- 0.000013471,0+,,0.392S 4,,,
84,Po-195,194.988114532 +- 0.000042107,(3/2-),,4.64S 9,,,
84,Po-195 m,1.10000E+02 keV,(13/2+),,1.92S 2,,,
84,Po-196,195.985535488 +- 0.000013784,0+,,5.73S 23,,,
84,Po-197,196.985659522 +- 0.000053332,(3/2-),,53.6S 10,,,
84,Po-197 m,2.70000E+02 keV,(13/2+),,25.8S 1,,,
84,Po-198,197.983388008 +- 0.000018721,0+,,1.77M 3,,,
84,Po-199,198.983666243 +- 0.000025167,3/2-,,5.47M 15,,,
84,Po-199 m,3.10000E+02 keV,13/2+,,4.17M 5,,,
84,Po-200,199.981797820 +- 0.000015458,0+,,11.5M 1,,,
84,Po-201,200.982259792 +- 0.000006278,3/2-,,15.3M 2,,,
84,Po-201 m,4.24000E+02 keV,13/2+,,8.9M 2,,,
84,Po-202,201.980756688 +- 0.000015756,0+,,44.7M 5,,,
84,Po-203,202.981416116 +- 0.000009291,5/2-,,36.7M 5,,,
84,Po-203 m,6.41800E+02 keV,13/2+,,45S 2,,,
84,Po-204,203.980304767 +- 0.000011834,0+,,3.53H 2,,,
84,Po-205,204.981203322 +- 0.000021355,5/2-,,1.74H 8,,,
84,Po-206,205.980477194 +- 0.000003669,0+,,8.8D 1,,,
84,Po-207,206.981592485 +- 0.000007168,5/2-,,5.80H 2,,,
84,Po-207 m,1.38295E+03 keV,19/2-,,2.79S 8,,,
84,Po-208,207.981244812 +- 0.000001936,0+,,2.898Y 2,,,
84,Po-209,208.982429554 +- 0.000001978,1/2-,,102Y 5,,,
84,Po-210,209.982872793 +- 0.000001335,0+,,138.376D 2,,,
84,Po-211,210.986652272 +- 0.000001444,9/2+,,0.516S 3,,,
84,Po-211 m,1.46100E+03 keV,(25/2+),,25.2S 6,,,
84,Po-212,211.988867077 +- 0.000001342,0+,,0.299US 2,,,
84,Po-212 m,2.93000E+03 keV,(18+),,45.1S 6,,,
84,Po-213,212.992856428 +- 0.000003320,9/2+,,4.2US 8,,,
84,Po-214,213.995200408 +- 0.000001643,0+,,164.3US 20,,,
84,Po-214 m,1.41500E+03 keV,0+,,99PS 3,,,
84,Po-215,214.999420261 +- 0.000002713,9/2+,,1.781MS 4,,,
84,Po-216,216.001908784 +- 0.000002359,0+,,0.145S 2,,,
84,Po-217,217.006319051 +- 0.000006719,(9/2+),,1.46S 5,,,
84,Po-218,218.008972569 +- 0.000002519,0+,,3.098M 12,,,
84,Po-219,219.013517 +- 0.000215,,,unknown,,,
84,Po-220,220.016382 +- 0.000215,,,unknown,,,
85,At-191,191.004145629 +- 0.000017334,1/2+,,1.7MS +11 -5,,,
85,At-191 m,5.00000E+01 keV,7/2-,,2.1MS +4 -3,,,
85,At-192,192.003133883 +- 0.000059756,"(9-,10-)",,88MS 6,,,
85,At-192,,,,11.5MS 6,,,
85,At-193,192.999929672 +- 0.000058244,,,28MS +5 -4,,,
85,At-193 m,5.00000E+00 keV,(7/2-),,21MS +5,,,
85,At-193 n,3.90000E+01 keV,(13/2+),,27MS +4 -3,,,
85,At-194,193.999249128 +- 0.000032522,,,40MS AP,,,
85,At-194,,,,250MS AP,,,
85,At-195,194.996268131 +- 0.000009721,(1/2+),,328MS 20,,,
85,At-195 m,3.20000E+01 keV,7/2-,,147MS 5,,,
85,At-196,195.995788077 +- 0.000064308,,,253MS 9,,,
85,At-197,196.993189174 +- 0.000054661,(9/2-),,0.388S 6,,,
85,At-197 m,5.20000E+01 keV,(1/2+),,2.0S 2,,,
85,At-198,197.992860362 +- 0.000015906,(3+),,4.1S 3,,,
85,At-198 m,1.02000E+02 keV,(10-),,1.03S 15,,,
85,At-199,198.990528937 +- 0.000006042,(9/2-),,7.03S 15,,,
85,At-200,199.990351015 +- 0.000026264,(3+),,43S 1,,,
85,At-200 m,1.04000E+02 keV,(7+),,47S 1,,,
85,At-200 n,3.35000E+02 keV,(10-),,3.5S 2,,,
85,At-201,200.988417277 +- 0.000008786,(9/2-),,83S 2,,,
85,At-202,201.988630302 +- 0.000030034,"(2,3)+",,184S 1,,,
85,At-202,,(7+),,182S 2,,,
85,At-202 n,3.19700E+02 keV,(10-),,0.46S 5,,,
85,At-203,202.986941527 +- 0.000012532,9/2-,,7.4M 2,,,
85,At-204,203.987250190 +- 0.000026237,7+,,9.22M 13,,,
85,At-204 m,5.87300E+02 keV,(10-),,108MS 10,,,
85,At-205,204.986074522 +- 0.000016228,9/2-,,26.9M 8,,,
85,At-206,205.986657035 +- 0.000016109,(5)+,,30.6M 8,,,
85,At-207,206.985800091 +- 0.000013322,9/2-,,1.80H 4,,,
