Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M,N/P,Adj. N/P,P/N,Adj. P/N,M/P,M/N,M*N/P,M*P/N,Adj. M*N/P,Adj. M*P/N,N/Mass,P/Mass,Adj. N/Mass,Adj. P/Mass,Adj. N/Mass - Z,Adj. P/Mass - Z,Half Life (Seconds),Half Life Seconds Value,Magnitude of Value,isStable,(-ZM/N)^Adj. P/Mass,-ZM/N
7,6.0,N- 13,13.005738609000002,0.0,9.965M 4,5.34548,0.8571428571428571,0.1428571428571429,1.1666666666666667,0.16666666666666674,0.76364,0.8909133333333333,4.58184,6.236393333333334,0.7636400000000003,0.8909133333333338,0.4613348138373307,0.5382239494768858,0.5386651861626692,0.4617760505231142,-6.461334813837331,-6.538223949476886,597.9,5.979,2.0,1.0,,-6.236393333333334
7,7.0,N-nat,14.0067,0.0014,,2.86342,1.0,0.0,1.0,0.0,0.40906000000000003,0.40906000000000003,2.86342,2.86342,0.0,0.0,0.49976082874624284,0.49976082874624284,0.5002391712537572,0.5002391712537572,-6.4997608287462425,-6.4997608287462425,,,,,,-2.86342
7,7.0,N- 14,14.00307400443,0.0,-1.0,2.86342,1.0,0.0,1.0,0.0,0.40906000000000003,0.40906000000000003,2.86342,2.86342,0.0,0.0,0.4998902382280838,0.4998902382280838,0.5001097617719161,0.5001097617719161,-6.499890238228084,-6.499890238228084,-1.0,2,2.0,1.0,,-2.86342
7,8.0,N- 15,15.000108898879997,0.0,-1.0,0.101439,1.1428571428571428,0.1428571428571428,0.875,0.125,0.014491285714285715,0.012679875,0.11593028571428571,0.088759125,0.014491285714285708,0.012679875,0.5333294614012656,0.4666632787261074,0.4666705385987344,0.5333367212738926,-6.533329461401266,-6.466663278726108,-1.0,2,2.0,1.0,,-0.08875912500000001
7,9.0,N- 16,16.006101659000002,0.0,7.13S 2,5.6839,1.2857142857142858,0.2857142857142858,0.7777777777777778,0.2222222222222222,0.8119857142857143,0.6315444444444445,7.3078714285714295,4.420811111111112,1.6239714285714293,1.263088888888889,0.5622855703243287,0.4373332213633668,0.4377144296756713,0.5626667786366333,-6.562285570324328,-6.4373332213633665,7.13,7.13,0.0,0.0,,-4.420811111111111
7,10.0,N- 17,17.008448873,0.0001,4.173S 4,7.87,1.4285714285714286,0.4285714285714286,0.7,0.30000000000000004,1.1242857142857143,0.787,11.242857142857144,5.5089999999999995,3.372857142857143,2.361,0.5879430907938034,0.41156016355566233,0.41205690920619664,0.5884398364443377,-6.587943090793804,-6.411560163555662,4.173,4.173,0.0,0.0,,-5.509
7,11.0,N- 18,18.014077565,0.0001,619MS 2,13.113,1.5714285714285714,0.5714285714285714,0.6363636363636364,0.36363636363636365,1.8732857142857142,1.192090909090909,20.606142857142856,8.344636363636363,7.493142857142857,4.768363636363636,0.6106335425896119,0.3885849816479348,0.3893664574103881,0.6114150183520652,-6.610633542589612,-6.388584981647934,0.619,6.19,-1.0,0.0,,-8.344636363636363
7,12.0,N- 19,19.017023163,0.0001,0.271S 8,15.856,1.7142857142857142,0.7142857142857142,0.5833333333333334,0.41666666666666663,2.265142857142857,1.3213333333333332,27.181714285714285,9.249333333333334,11.325714285714284,6.6066666666666665,0.631013586992285,0.3680912590788329,0.36898641300771495,0.6319087409211671,-6.631013586992285,-6.368091259078833,0.271,2.71,-1.0,0.0,,-9.249333333333334
7,13.0,N- 20,20.023365807,0.0003,130MS 7,21.77,1.8571428571428572,0.8571428571428572,0.5384615384615384,0.46153846153846156,3.11,1.6746153846153846,40.43,11.722307692307691,18.66,10.047692307692309,0.6492414974237403,0.3495915755358601,0.35075850257625973,0.6504084244641399,-6.64924149742374,-6.34959157553586,0.13,1.3,-1.0,0.0,,-11.722307692307691
7,14.0,N- 21,21.02710824,0.0005,95MS +15 -11,25.25,2.0,1.0,0.5,0.5,3.607142857142857,1.8035714285714286,50.5,12.625,25.25,12.625,0.6658071970813234,0.3329035985406617,0.3341928029186766,0.6670964014593384,-6.665807197081324,-6.332903598540661,0.095,9.5,-2.0,0.0,,-12.625
7,15.0,N- 22,22.034394934,0.0009,24MS +7 -6,32.04,2.142857142857143,1.1428571428571428,0.4666666666666667,0.5333333333333333,4.577142857142857,2.136,68.65714285714286,14.952,36.61714285714285,17.088,0.6807538870447659,0.3176851472875574,0.3192461129552341,0.6823148527124425,-6.680753887044766,-6.317685147287557,0.024,2.4,-2.0,0.0,,-14.952
7,16.0,N- 23,23.04127,0.0014,14.1MS +12 -15,38.32,2.2857142857142856,1.2857142857142856,0.4375,0.5625,5.474285714285714,2.395,87.58857142857143,16.765,49.26857142857143,21.555,0.6944061677155816,0.30380269837556695,0.3055938322844184,0.696197301624433,-6.694406167715582,-6.303802698375567,0.0141,1.41,-2.0,0.0,,-16.765
7,17.0,,,,,46.94,2.4285714285714284,1.4285714285714284,0.4117647058823529,0.5882352941176471,6.7057142857142855,2.7611764705882353,113.99714285714285,19.328235294117647,67.05714285714285,27.61176470588235,,,,,,,,,,,,-19.328235294117647
7,18.0,,,,,55.98,2.5714285714285716,1.5714285714285716,0.3888888888888889,0.6111111111111112,7.997142857142856,3.11,143.94857142857143,21.77,87.96857142857144,34.21,,,,,,,,,,,,-21.769999999999996
8,4.0,,,,,31.915,0.5,0.5,2.0,1.0,3.989375,7.97875,15.9575,63.83,15.9575,31.915,,,,,,,,,,,,-63.83
8,5.0,O- 13,13.024814682999999,0.0001,8.58MS 5,23.115,0.625,0.375,1.6,0.6000000000000001,2.889375,4.622999999999999,14.446874999999999,36.984,8.668125,13.869000000000002,0.3838826211113779,0.6142121937782046,0.6161173788886221,0.3857878062217954,-7.383882621111378,-7.614212193778204,0.00858,8.58,-3.0,0.0,,-36.983999999999995
8,6.0,O- 14,14.008596359,0.0,70.606S 18,8.00746,0.75,0.25,1.3333333333333333,0.33333333333333326,1.0009325,1.3345766666666667,6.005595,10.676613333333332,2.001865,2.6691533333333326,0.4283084362085445,0.5710779149447259,0.5716915637914555,0.42892208505527407,-7.428308436208544,-7.571077914944726,70.606,7.0606,1.0,0.0,,-10.676613333333334
