Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
14,26.0,Si- 40,40.005829,0.0006,33.0MS 10,5.43
14,27.0,Si- 41,41.013011,0.001,20.0MS 25,12.12
14,28.0,Si- 42,42.01778,0.0013,12.5MS 35,16.56
14,29.0,Si- 43,43.0248,0.002,,23.1
14,30.0,Si- 44,44.03061,0.002,,28.51
14,31.0,,,,,37.21
15,9.0,,,,,33.32
15,10.0,,,,,19.74
15,11.0,P- 26,26.01178,0.0008,43.7MS 6,10.97
15,11.0,P- 27,26.999231528,0.0001,260MS 80,10.97
15,12.0,P- 28,27.992325176,0.0,270.3MS 5,-0.722
15,13.0,P- 29,28.981800608,0.0,4.142S 1,-7.1477
15,14.0,P- 30,29.978313753,0.0,2.498M 4,-16.9525
15,15.0,P-nat,30.973762,0.0,,-20.2006
15,15.0,P- 31,30.97376199842,0.0,-1.0,-20.2006
15,16.0,P- 32,31.973907643,0.0,14.263D 3,-24.4405
15,17.0,P- 33,32.971725694,0.0,25.34D 12,-24.3049
15,18.0,P- 34,33.973645886,0.0,12.43S 8,-26.3373
15,19.0,P- 35,34.973314055,0.0,47.3S 7,-24.5487
15,20.0,P- 36,35.978259617,0.0,5.6S 3,-24.8578
15,21.0,P- 37,36.979607065,0.0001,2.31S 13,-20.251
15,22.0,P- 38,37.984280346,0.0002,0.64S 14,-19.0
15,23.0,P- 39,38.986263839,0.0002,0.28S 4,-14.67
15,24.0,P- 40,39.991331748,0.0003,153MS 8,-12.83
15,25.0,P- 41,40.994654,0.0002,150MS 15,-8.07
15,26.0,,,,,-4.98
15,27.0,P- 42,42.001084,0.0005,110MS 30,1.01
15,28.0,P- 43,43.005024,0.0009,33MS 3,4.68
15,29.0,P- 44,44.01121,0.002,18.5MS 25,10.44
15,30.0,P- 45,45.01645,0.0019,,15.32
15,31.0,P- 46,46.02446,0.0019,,22.78
15,32.0,,,,,29.24
16,10.0,,,,,27.08
16,11.0,S- 27,27.018287,0.0016,21MS 4,17.03
16,12.0,S- 28,28.004372765,0.0006,125MS 10,4.07
16,12.0,S- 29,28.996610693,0.0002,187MS 4,4.07
16,13.0,S- 30,29.984903424,0.0,1.178S 5,-3.16
16,14.0,S- 31,30.979556476,0.0,2.572S 13,-14.059
16,15.0,S- 32,31.97207117438,0.0,-1.0,-19.0425
16,16.0,S-nat,32.065,0.0156,,-26.0155
16,16.0,S- 33,32.97145890979,0.0,-1.0,-26.0155
16,17.0,S- 34,33.967867037,0.0,-1.0,-26.5859
16,18.0,S- 35,34.969032348,0.0,87.51D 12,-29.9317
16,19.0,S- 36,35.967080698,0.0,-1.0,-28.8462
16,20.0,S- 37,36.971125506,0.0,5.05M 2,-30.6641
16,21.0,S- 38,37.971163301,0.0,170.3M 7,-26.8964
16,22.0,S- 39,38.975134208,0.0001,11.5S 5,-26.861
16,23.0,S- 40,39.975383263,0.0003,8.8S 22,-23.16
16,24.0,S- 41,40.979507387,0.0002,1.99S 5,-22.838
16,25.0,S- 42,41.981022419,0.0003,1.013S 15,-19.009
16,26.0,S- 43,42.987042,0.0002,220MS 65,-17.6377
16,27.0,S- 44,43.990231,0.0003,100MS 1,-12.195
16,28.0,S- 45,44.995717,0.0016,68MS 2,-9.204
16,29.0,,,,,-3.99
16,30.0,S- 46,46.00004,0.0019,50MS 8,0.04
16,31.0,S- 47,47.00795,0.0018,,7.41
16,32.0,S- 48,48.0137,0.002,,12.76
16,33.0,,,,,21.2
17,11.0,,,,,27.52
17,12.0,,,,,13.77
17,13.0,Cl- 31,30.992414204,0.0002,150MS 25,4.44
17,14.0,Cl- 32,31.985684164,0.0,298MS 1,-7.07
17,15.0,Cl- 33,32.977452062,0.0,2.511S 3,-13.3347
